hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,hotel_adresse,hotel_code_postal,url_hotel,source,source_query,hotel_name_norm,city_norm,rating_value,review_count,page_index,in_destination_html,match_type
0385,385,Novotel Marne-la-Vallée Collégien,NOV,NOVOTEL,COLLEGIEN,France,"2 Allée des Portes de la Forêt, Z.A.E Les Portes de la Forêt, CS 50024",77090,https://all.accor.com/hotel/0385/index.fr.shtml,catalog_api,france,NOVOTEL MARNE LA VALLEE COLLEGIEN,COLLEGIEN,,,,False,missing
A345,A345,ibis Montlhéry Paris Sud,IBH,IBIS,MONTLHERY,France,64 Route D'Orléans,91310,https://all.accor.com/hotel/A345/index.fr.shtml,catalog_api,france,IBIS MONTLHERY PARIS SUD,MONTLHERY,,,,False,missing
B9I0,B9I0,greet  Hotel Versailles - Voisins Le Bretonneux,GRE,GREET,VOISINS LE BRETONNEUX,France,"7,9 RUE DES TILLEULS",78960,https://all.accor.com/hotel/B9I0/index.fr.shtml,catalog_api,france,GREET HOTEL VERSAILLES VOISINS LE BRETONNEUX,VOISINS LE BRETONNEUX,,,,False,missing
0383,383,Novotel Domaine De Maffliers - Demeures De Campagne,NOV,NOVOTEL,MAFFLIERS,France,"Allée des marronniers, Domaine de Maffliers",95560,https://all.accor.com/hotel/0383/index.fr.shtml,catalog_api,france,NOVOTEL DOMAINE DE MAFFLIERS DEMEURES DE CAMPAGNE,MAFFLIERS,,,,False,missing
A211,A211,Hôtel Mercure Marne-la-Vallée Bussy-Saint-Georges,MER,MERCURE,BUSSY SAINT GEORGES,France,44 Boulevard Antoine Giroust,77600,https://all.accor.com/hotel/A211/index.fr.shtml,catalog_api,france,HOTEL MERCURE MARNE LA VALLEE BUSSY SAINT GEORGES,BUSSY SAINT GEORGES,,,,False,missing
B392,B392,ibis budget Saint-Ouen-l'Aumône,IBB,IBIS BUDGET,SAINT OUEN L AUMONE,France,4 Allée des Trois Caravelles,95310,https://all.accor.com/hotel/B392/index.fr.shtml,catalog_api,france,IBIS BUDGET SAINT OUEN L AUMONE,SAINT OUEN L AUMONE,,,,False,missing
0752,752,Ibis Évry-Courcouronnes,IBH,IBIS,EVRY,France,"1 Avenue du lac, Parc Tertiaire du Bois Briard, Courcouronnes",91021,https://all.accor.com/hotel/0752/index.fr.shtml,catalog_api,france,IBIS EVRY COURCOURONNES,EVRY,,,,False,missing
0390,390,Novotel Poissy Orgeval,NOV,NOVOTEL,ORGEVAL,France,482 Route Des 40 Sous,78630,https://all.accor.com/hotel/0390/index.fr.shtml,catalog_api,france,NOVOTEL POISSY ORGEVAL,ORGEVAL,,,,False,missing
0389,389,Novotel Évry-Courcouronnes,NOV,NOVOTEL,COURCOURONNES,France,"3 Rue de la Mare Neuve, Lac de Courcouronnes",91080,https://all.accor.com/hotel/0389/index.fr.shtml,catalog_api,france,NOVOTEL EVRY COURCOURONNES,COURCOURONNES,,,,False,missing
0928,928,ibis Cergy-Pontoise Le Port,IBH,IBIS,CERGY PONTOISE,France,"28, avenue des Grouettes",95000,https://all.accor.com/hotel/0928/index.fr.shtml,catalog_api,france,IBIS CERGY PONTOISE LE PORT,CERGY PONTOISE,,,,False,missing
B3B4,B3B4,hotelF1 Cergy,HOF,HOTELF1,CERGY,France,3 Avenue Des Trois Fontaines,95000,https://all.accor.com/hotel/B3B4/index.fr.shtml,catalog_api,france,HOTELF1 CERGY,CERGY,,,,False,missing
0459,459,Novotel Roissy Saint-Witz,NOV,NOVOTEL,SAINT-WITZ,France,ROUTE DE SURVILLIERS,95470,https://all.accor.com/hotel/0459/index.fr.shtml,catalog_api,france,NOVOTEL ROISSY SAINT WITZ,SAINT WITZ,,,,False,missing
2278,2278,hotelF1 Saint-Witz A1 Paris Nord,HOF,HOTELF1,SAINT WITZ,France,8 Rue Jean Moulin,95470,https://all.accor.com/hotel/2278/index.fr.shtml,catalog_api,france,HOTELF1 SAINT WITZ A1 PARIS NORD,SAINT WITZ,,,,False,missing
B4D0,B4D0,Domaine des Vanneaux Golf & Spa - MGallery Collection,MGA,MGALLERY,PRESLES,France,1 Route du Golf des Vanneaux,95590,https://all.accor.com/hotel/B4D0/index.fr.shtml,catalog_api,france,DOMAINE DES VANNEAUX GOLF SPA MGALLERY COLLECTION,PRESLES,,,,False,missing
B2R7,B2R7,Aparthotel Adagio Serris - Val d'Europe,ADG,ADAGIO,SERRIS,France,18 Cours de l'Elbe,77000,https://all.accor.com/hotel/B2R7/index.fr.shtml,catalog_api,france,APARTHOTEL ADAGIO SERRIS VAL D EUROPE,SERRIS,,,,False,missing
B3B7,B3B7,hotelF1 Maurepas,HOF,HOTELF1,MAUREPAS,France,"Rue Evariste Galois, Rue Augustin Fresnel GPS",78310,https://all.accor.com/hotel/B3B7/index.fr.shtml,catalog_api,france,HOTELF1 MAUREPAS,MAUREPAS,,,,False,missing
0977,977,Mercure Parc du Coudray Demeures de Campagne,MER,MERCURE,LE COUDRAY MONTCEAUX,France,Route de Milly,91830,https://all.accor.com/hotel/0977/index.fr.shtml,catalog_api,france,MERCURE PARC DU COUDRAY DEMEURES DE CAMPAGNE,LE COUDRAY MONTCEAUX,,,,False,missing
C1R5,C1R5,"Abbaye des Vaux De Cernay, un hôtel Paris Society Collection",PSC,PSC,CERNAY-LA-VILLE,France,"Domaine de l'Abbaye, des Vaux de Cernay",78720,https://all.accor.com/hotel/C1R5/index.fr.shtml,catalog_api,france,ABBAYE DES VAUX DE CERNAY UN HOTEL PARIS SOCIETY COLLECTION,CERNAY LA VILLE,,,,False,missing
B4C3,B4C3,Hôtel Mercure Chantilly Resort & Conventions,MER,MERCURE,VINEUIL SAINT FIRMIN,France,Route D Apremont,60500,https://all.accor.com/hotel/B4C3/index.fr.shtml,catalog_api,france,HOTEL MERCURE CHANTILLY RESORT CONVENTIONS,VINEUIL SAINT FIRMIN,,,,False,missing
0620,620,ibis Melun,IBH,IBIS,MELUN,France,"81, avenue de Meaux",77000,https://all.accor.com/hotel/0620/index.fr.shtml,catalog_api,france,IBIS MELUN,MELUN,,,,False,missing
0709,709,ibis Senlis,IBH,IBIS,SENLIS,France,72 AVENUE DU GENERAL DE GAULLE,60300,https://all.accor.com/hotel/0709/index.fr.shtml,catalog_api,france,IBIS SENLIS,SENLIS,,,,False,missing
0687,687,ibis Rambouillet,IBH,IBIS,RAMBOUILLET,France,"2 Rue Pierre Métairie, GPS > RN 10, ZA Bel Air",78120,https://all.accor.com/hotel/0687/index.fr.shtml,catalog_api,france,IBIS RAMBOUILLET,RAMBOUILLET,,,,False,missing
B7Q1,B7Q1,Aigle Noir Fontainebleau - MGallery Collection,MGA,MGALLERY,FONTAINEBLEAU,France,27 place Napoleon Bonaparte,77300,https://all.accor.com/hotel/B7Q1/index.fr.shtml,catalog_api,france,AIGLE NOIR FONTAINEBLEAU MGALLERY COLLECTION,FONTAINEBLEAU,4.5,881,48.0,True,missing
0384,384,Novotel Fontainebleau Ury,NOV,NOVOTEL,URY,France,"Route Nationale 152, Chemin de Melun, Ile -de France",77760,https://all.accor.com/hotel/0384/index.fr.shtml,catalog_api,france,NOVOTEL FONTAINEBLEAU URY,URY,4.2,1119,46.0,True,missing
0350,350,ibis Styles Beauvais,IBS,IBIS STYLES,BEAUVAIS,France,"HOTEL IBIS STYLES, 21 AVENUE MONTAIGNE",60000,https://all.accor.com/hotel/0350/index.fr.shtml,catalog_api,france,IBIS STYLES BEAUVAIS,BEAUVAIS,,,,False,missing
C284,C284,Mercure Maintenon,MER,MERCURE,MAINTENON,France,1 Rue de la Ferté,28130,https://all.accor.com/hotel/C284/index.fr.shtml,catalog_api,france,MERCURE MAINTENON,MAINTENON,,,,False,missing
B0Y0,B0Y0,Hôtel Mercure Beauvais Centre Cathédrale,MER,MERCURE,BEAUVAIS,France,1 Cours Scellier,60000,https://all.accor.com/hotel/B0Y0/index.fr.shtml,catalog_api,france,HOTEL MERCURE BEAUVAIS CENTRE CATHEDRALE,BEAUVAIS,,,,False,missing
0691,691,ibis Compiègne,IBH,IBIS,COMPIEGNE,France,"18, rue Edouard Branly, ZAC de Mercières",60200,https://all.accor.com/hotel/0691/index.fr.shtml,catalog_api,france,IBIS COMPIEGNE,COMPIEGNE,,,,False,missing
B632,B632,ibis budget Beauvais Aeroport,IBB,IBIS BUDGET,TILLE,France,53 Rue Du Moulin,60000,https://all.accor.com/hotel/B632/index.fr.shtml,catalog_api,france,IBIS BUDGET BEAUVAIS AEROPORT,TILLE,,,,False,missing
B3A5,B3A5,hotelF1 Nemours,HOF,HOTELF1,NEMOURS,France,3 Place Des Moines,77140,https://all.accor.com/hotel/B3A5/index.fr.shtml,catalog_api,france,HOTELF1 NEMOURS,NEMOURS,3.3,218,44.0,True,missing
0628,628,ibis Nemours,IBH,IBIS,NEMOURS,France,"2, place des Moines, Seine et Marne",77140,https://all.accor.com/hotel/0628/index.fr.shtml,catalog_api,france,IBIS NEMOURS,NEMOURS,4.5,735,44.0,True,missing
B5E8,B5E8,ibis Styles Dreux Centre Gare,IBS,IBIS STYLES,DREUX,France,10 Rue Du Bois Des Fosses,28100,https://all.accor.com/hotel/B5E8/index.fr.shtml,catalog_api,france,IBIS STYLES DREUX CENTRE GARE,DREUX,,,,False,missing
C3P5,C3P5,Mercure Chartres Est,MER,MERCURE,CHARTRES,France,24 avenue Gustave Eiffel,28000,https://all.accor.com/hotel/C3P5/index.fr.shtml,catalog_api,france,MERCURE CHARTRES EST,CHARTRES,,,,False,missing
0413,413,Novotel Chartres,NOV,NOVOTEL,CHARTRES,France,5 Ter Avenue Marcel Proust,28000,https://all.accor.com/hotel/0413/index.fr.shtml,catalog_api,france,NOVOTEL CHARTRES,CHARTRES,,,,False,missing
C0V4,C0V4,greet Chartres Est,GRE,GREET,CHARTRES,France,3 avenue Marcel Proust,28000,https://all.accor.com/hotel/C0V4/index.fr.shtml,catalog_api,france,GREET CHARTRES EST,CHARTRES,,,,False,missing
0856,856,ibis Provins,IBH,IBIS,PROVINS,France,"77, Avenue du Général de Gaulle",77160,https://all.accor.com/hotel/0856/index.fr.shtml,catalog_api,france,IBIS PROVINS,PROVINS,,,,False,missing
B2N8,B2N8,ibis budget Château-Thierry,IBB,IBIS BUDGET,ESSOMES SUR MARNE,France,60 Av Du General De Gaulle,02400,https://all.accor.com/hotel/B2N8/index.fr.shtml,catalog_api,france,IBIS BUDGET CHATEAU THIERRY,ESSOMES SUR MARNE,,,,False,missing
0688,688,ibis Chartres Ouest Lucé,IBH,IBIS,LUCE,France,"2 Impasse du Périgord, Route Nationale 23, Carrefour de l' Europe",28110,https://all.accor.com/hotel/0688/index.fr.shtml,catalog_api,france,IBIS CHARTRES OUEST LUCE,LUCE,,,,False,missing
C2G9,C2G9,ibis Styles Chartres Sud Barjouville,IBS,IBIS STYLES,BARJOUVILLE,France,"39C rue des Pierres Missigault, ZA Barjouville les Orvilles",28630,https://all.accor.com/hotel/C2G9/index.fr.shtml,catalog_api,france,IBIS STYLES CHARTRES SUD BARJOUVILLE,BARJOUVILLE,,,,False,missing
A3N2,A3N2,ibis Styles Rouen Val-de-Reuil,IBS,IBIS STYLES,VAL DE REUIL,France,Ruelle du Coin des Saules,27100,https://all.accor.com/hotel/A3N2/index.fr.shtml,catalog_api,france,IBIS STYLES ROUEN VAL DE REUIL,VAL DE REUIL,,,,False,missing
B4A1,B4A1,ibis Styles Montargis Arboria,IBS,IBIS STYLES,PANNES,France,"Parc D Activites Arboria, 805 Avenue Des Platanes, 45700",45700,https://all.accor.com/hotel/B4A1/index.fr.shtml,catalog_api,france,IBIS STYLES MONTARGIS ARBORIA,PANNES,4.5,670,26.0,True,missing
0861,861,ibis Montargis,IBH,IBIS,MONTARGIS,France,"2,  Place Victor Hugo",45200,https://all.accor.com/hotel/0861/index.fr.shtml,catalog_api,france,IBIS MONTARGIS,MONTARGIS,4.5,776,26.0,True,missing
0862,862,ibis Orléans Centre Gare,IBH,IBIS,ORLEANS,France,17 Avenue de Paris,45000,https://all.accor.com/hotel/0862/index.fr.shtml,catalog_api,france,IBIS ORLEANS CENTRE GARE,ORLEANS,4.5,663,23.0,True,missing
B6T9,B6T9,Novotel Orléans Centre Gare,NOV,NOVOTEL,ORLEANS,France,83 bd Alexandre Martin,45000,https://all.accor.com/hotel/B6T9/index.fr.shtml,catalog_api,france,NOVOTEL ORLEANS CENTRE GARE,ORLEANS,4.6,892,22.0,True,missing
0432,432,Novotel Rouen Sud Zenith Parc Expo,NOV,NOVOTEL,SAINT ETIENNE DU ROUVRAY,France,"Angle Avenue de l'Université, Rue de la Mare Sansoure",76800,https://all.accor.com/hotel/0432/index.fr.shtml,catalog_api,france,NOVOTEL ROUEN SUD ZENITH PARC EXPO,SAINT ETIENNE DU ROUVRAY,,,,False,missing
0742,742,ibis Styles Rouen Parc expo zenith,IBS,IBIS STYLES,SAINT ETIENNE DU ROUVRAY,France,29 Avenue Maryse Bastié,76800,https://all.accor.com/hotel/0742/index.fr.shtml,catalog_api,france,IBIS STYLES ROUEN PARC EXPO ZENITH,SAINT ETIENNE DU ROUVRAY,,,,False,missing
5690,5690,ibis Rouen Centre Champ-de-Mars,IBH,IBIS,ROUEN,France,12 Avenue Aristide Briand,76000,https://all.accor.com/hotel/5690/index.fr.shtml,catalog_api,france,IBIS ROUEN CENTRE CHAMP DE MARS,ROUEN,,,,False,missing
