hotel_id,recap_column,row,etape,sous_etape,data_label,field_key,field_type_hint,raw_value,feature_column
novotel-paris-tour-eiffel,TOUR EIFFEL,7,0 - PAGE DE CONNEXION,LOCALISATION GEO,ADRESSE POSTALE (2),0_page_de_connexion_localisation_geo_adresse_postale_2,categorical,,d_recap_0_page_de_connexion_localisation_geo_adresse_postale_2
mercure-montmartre,MONTMARTRE,7,0 - PAGE DE CONNEXION,LOCALISATION GEO,ADRESSE POSTALE (2),0_page_de_connexion_localisation_geo_adresse_postale_2,categorical,,d_recap_0_page_de_connexion_localisation_geo_adresse_postale_2
mercure-boulogne,BOULOGNE,7,0 - PAGE DE CONNEXION,LOCALISATION GEO,ADRESSE POSTALE (2),0_page_de_connexion_localisation_geo_adresse_postale_2,categorical,,d_recap_0_page_de_connexion_localisation_geo_adresse_postale_2
ibis-budget-nice,NICE,8,0 - PAGE DE CONNEXION,LOCALISATION GEO,ADRESSE POSTALE (3),0_page_de_connexion_localisation_geo_adresse_postale_3,categorical,,d_recap_0_page_de_connexion_localisation_geo_adresse_postale_3
ibis-budget-strasbourg,STRASBOURG,8,0 - PAGE DE CONNEXION,LOCALISATION GEO,ADRESSE POSTALE (3),0_page_de_connexion_localisation_geo_adresse_postale_3,categorical,,d_recap_0_page_de_connexion_localisation_geo_adresse_postale_3
ibis-styles-roissy-cdg,PARIS CDG,8,0 - PAGE DE CONNEXION,LOCALISATION GEO,ADRESSE POSTALE (3),0_page_de_connexion_localisation_geo_adresse_postale_3,categorical,,d_recap_0_page_de_connexion_localisation_geo_adresse_postale_3
novotel-megeve,MEGEVE,8,0 - PAGE DE CONNEXION,LOCALISATION GEO,ADRESSE POSTALE (3),0_page_de_connexion_localisation_geo_adresse_postale_3,categorical,,d_recap_0_page_de_connexion_localisation_geo_adresse_postale_3
novotel-paris-tour-eiffel,TOUR EIFFEL,8,0 - PAGE DE CONNEXION,LOCALISATION GEO,ADRESSE POSTALE (3),0_page_de_connexion_localisation_geo_adresse_postale_3,categorical,,d_recap_0_page_de_connexion_localisation_geo_adresse_postale_3
mercure-montmartre,MONTMARTRE,8,0 - PAGE DE CONNEXION,LOCALISATION GEO,ADRESSE POSTALE (3),0_page_de_connexion_localisation_geo_adresse_postale_3,categorical,,d_recap_0_page_de_connexion_localisation_geo_adresse_postale_3
mercure-boulogne,BOULOGNE,8,0 - PAGE DE CONNEXION,LOCALISATION GEO,ADRESSE POSTALE (3),0_page_de_connexion_localisation_geo_adresse_postale_3,categorical,,d_recap_0_page_de_connexion_localisation_geo_adresse_postale_3
