hotel_code_accor,hotel_code_norm,hotel_name,hotel_brand_code,hotel_brand,hotel_city,hotel_country,url_hotel,source_query,hotel_name_norm,city_norm,match_type
B6G2,B6G2,ibis Budget Rouen Centre Rive Gauche,IBB,IBIS BUDGET,ROUEN,France,https://all.accor.com/hotel/B6G2/index.fr.shtml,france,IBIS BUDGET ROUEN CENTRE RIVE GAUCHE,ROUEN,missing
C0I0,C0I0,Ibis Rouen Centre Rive Gauche Mermoz,IBH,IBIS,ROUEN,France,https://all.accor.com/hotel/C0I0/index.fr.shtml,france,IBIS ROUEN CENTRE RIVE GAUCHE MERMOZ,ROUEN,missing
B9K3,B9K3,ibis Rouen Centre Rive Droite Pasteur,IBH,IBIS,ROUEN,France,https://all.accor.com/hotel/B9K3/index.fr.shtml,france,IBIS ROUEN CENTRE RIVE DROITE PASTEUR,ROUEN,missing
C5H7,C5H7,ibis Styles Amiens Sud,IBS,IBIS STYLES,AMIENS,France,https://all.accor.com/hotel/C5H7/index.fr.shtml,france,IBIS STYLES AMIENS SUD,AMIENS,missing
C5P6,C5P6,You Hotel Amiens - Handwritten Collection,SOU,SOU,AMIENS,France,https://all.accor.com/hotel/C5P6/index.fr.shtml,france,YOU HOTEL AMIENS HANDWRITTEN COLLECTION,AMIENS,missing
B5R0,B5R0,ibis Styles Amiens Centre,IBS,IBIS STYLES,AMIENS,France,https://all.accor.com/hotel/B5R0/index.fr.shtml,france,IBIS STYLES AMIENS CENTRE,AMIENS,missing
A3P0,A3P0,ibis budget Amiens Centre Gare,IBB,IBIS BUDGET,AMIENS,France,https://all.accor.com/hotel/A3P0/index.fr.shtml,france,IBIS BUDGET AMIENS CENTRE GARE,AMIENS,missing
0852,852,ibis Épernay Centre-Ville,IBH,IBIS,EPERNAY,France,https://all.accor.com/hotel/0852/index.fr.shtml,france,IBIS EPERNAY CENTRE VILLE,EPERNAY,missing
B1F0,B1F0,Hôtel Mercure Orléans Portes de Sologne,MER,MERCURE,ARDON ORLEANS,France,https://all.accor.com/hotel/B1F0/index.fr.shtml,france,HOTEL MERCURE ORLEANS PORTES DE SOLOGNE,ARDON ORLEANS,missing
0419,419,Novotel Orleans Chemins De Sologne Demeures De Campagne,NOV,NOVOTEL,ORLEANS,France,https://all.accor.com/hotel/0419/index.fr.shtml,france,NOVOTEL ORLEANS CHEMINS DE SOLOGNE DEMEURES DE CAMPAGNE,ORLEANS,missing
0703,703,ibis Styles Rouen Nord Barentin,IBS,IBIS STYLES,BARENTIN,France,https://all.accor.com/hotel/0703/index.fr.shtml,france,IBIS STYLES ROUEN NORD BARENTIN,BARENTIN,missing
B3B3,B3B3,Hôtel F1 Reims Tinqueux,HOF,HOTELF1,TINQUEUX,France,https://all.accor.com/hotel/B3B3/index.fr.shtml,france,HOTEL F1 REIMS TINQUEUX,TINQUEUX,missing
C1U6,C1U6,greet Hotel Reims Tinqueux,GRE,GREET,TINQUEUX,France,https://all.accor.com/hotel/C1U6/index.fr.shtml,france,GREET HOTEL REIMS TINQUEUX,TINQUEUX,missing
0811,811,ibis Reims Tinqueux,IBH,IBIS,TINQUEUX,France,https://all.accor.com/hotel/0811/index.fr.shtml,france,IBIS REIMS TINQUEUX,TINQUEUX,missing
0428,428,Novotel Reims Tinqueux,NOV,NOVOTEL,TINQUEUX,France,https://all.accor.com/hotel/0428/index.fr.shtml,france,NOVOTEL REIMS TINQUEUX,TINQUEUX,missing
C079,C079,ibis Styles Saint-Quentin,IBS,IBIS STYLES,SAINT QUENTIN,France,https://all.accor.com/hotel/C079/index.fr.shtml,france,IBIS STYLES SAINT QUENTIN,SAINT QUENTIN,missing
C1B6,C1B6,TRIBE Reims Centre (Ouverture automne 2026),TRI,TRIBE,REIMS,France,https://all.accor.com/hotel/C1B6/index.fr.shtml,france,TRIBE REIMS CENTRE OUVERTURE AUTOMNE 2026,REIMS,missing
B678,B678,ibis budget Reims Parc Des Expositions,IBB,IBIS BUDGET,REIMS,France,https://all.accor.com/hotel/B678/index.fr.shtml,france,IBIS BUDGET REIMS PARC DES EXPOSITIONS,REIMS,missing
0363,363,Hôtel Mercure Reims Parc des Expositions,MER,MERCURE,REIMS,France,https://all.accor.com/hotel/0363/index.fr.shtml,france,HOTEL MERCURE REIMS PARC DES EXPOSITIONS,REIMS,missing
B388,B388,La Licorne Hotel & Spa Troyes - MGallery Collection,MGA,MGALLERY,TROYES,France,https://all.accor.com/hotel/B388/index.fr.shtml,france,LA LICORNE HOTEL SPA TROYES MGALLERY COLLECTION,TROYES,missing
0348,348,Hôtel Mercure Auxerre Autoroute Du Soleil,MER,MERCURE,APPOIGNY,France,https://all.accor.com/hotel/0348/index.fr.shtml,france,HOTEL MERCURE AUXERRE AUTOROUTE DU SOLEIL,APPOIGNY,missing
0741,741,ibis Abbeville,IBH,IBIS,ABBEVILLE,France,https://all.accor.com/hotel/0741/index.fr.shtml,france,IBIS ABBEVILLE,ABBEVILLE,missing
A068,A068,ibis budget Troyes Est,IBB,IBIS BUDGET,SAINT PARRES AUX TERTRES,France,https://all.accor.com/hotel/A068/index.fr.shtml,france,IBIS BUDGET TROYES EST,SAINT PARRES AUX TERTRES,missing
A1B9,A1B9,ibis Styles Auxerre Nord,IBS,IBIS STYLES,AUXERRE,France,https://all.accor.com/hotel/A1B9/index.fr.shtml,france,IBIS STYLES AUXERRE NORD,AUXERRE,missing
C116,C116,ibis budget Auxerre Nord,IBB,IBIS BUDGET,AUXERRE,France,https://all.accor.com/hotel/C116/index.fr.shtml,france,IBIS BUDGET AUXERRE NORD,AUXERRE,missing
A212,A212,ibis Styles Châlons-en-Champagne Centre,IBS,IBIS STYLES,CHALONS EN CHAMPAGNE,France,https://all.accor.com/hotel/A212/index.fr.shtml,france,IBIS STYLES CHALONS EN CHAMPAGNE CENTRE,CHALONS EN CHAMPAGNE,missing
A1R3,A1R3,ibis budget Auxerre Centre,IBB,IBIS BUDGET,AUXERRE,France,https://all.accor.com/hotel/A1R3/index.fr.shtml,france,IBIS BUDGET AUXERRE CENTRE,AUXERRE,missing
0611,611,ibis Dieppe Val Druel,IBH,IBIS,DIEPPE,France,https://all.accor.com/hotel/0611/index.fr.shtml,france,IBIS DIEPPE VAL DRUEL,DIEPPE,missing
0699,699,ibis Châlons-en-Champagne,IBH,IBIS,CHALONS EN CHAMPAGNE,France,https://all.accor.com/hotel/0699/index.fr.shtml,france,IBIS CHALONS EN CHAMPAGNE,CHALONS EN CHAMPAGNE,missing
A285,A285,ibis budget Dieppe Centre Port,IBB,IBIS BUDGET,DIEPPE,France,https://all.accor.com/hotel/A285/index.fr.shtml,france,IBIS BUDGET DIEPPE CENTRE PORT,DIEPPE,missing
B6G5,B6G5,ibis Styles Le Treport Mers Les Bains,IBS,IBIS STYLES,MERS LES BAINS,France,https://all.accor.com/hotel/B6G5/index.fr.shtml,france,IBIS STYLES LE TREPORT MERS LES BAINS,MERS LES BAINS,missing
0700,700,ibis Cambrai,IBH,IBIS,FONTAINE-NOTRE-DAME,France,https://all.accor.com/hotel/0700/index.fr.shtml,france,IBIS CAMBRAI,FONTAINE NOTRE DAME,missing
B2W9,B2W9,Novotel Blois Centre Val de Loire,NOV,NOVOTEL,BLOIS,France,https://all.accor.com/hotel/B2W9/index.fr.shtml,france,NOVOTEL BLOIS CENTRE VAL DE LOIRE,BLOIS,missing
1621,1621,Hôtel Mercure Blois Centre,MER,MERCURE,BLOIS,France,https://all.accor.com/hotel/1621/index.fr.shtml,france,HOTEL MERCURE BLOIS CENTRE,BLOIS,missing
0920,920,ibis Blois Centre Château,IBH,IBIS,BLOIS,France,https://all.accor.com/hotel/0920/index.fr.shtml,france,IBIS BLOIS CENTRE CHATEAU,BLOIS,missing
B5E7,B5E7,ibis Styles Arras Centre,IBS,IBIS STYLES,ARRAS,France,https://all.accor.com/hotel/B5E7/index.fr.shtml,france,IBIS STYLES ARRAS CENTRE,ARRAS,missing
2716,2716,ibis budget Honfleur Centre-Ville,IBB,IBIS BUDGET,HONFLEUR,France,https://all.accor.com/hotel/2716/index.fr.shtml,france,IBIS BUDGET HONFLEUR CENTRE VILLE,HONFLEUR,missing
0986,986,Hôtel Mercure Honfleur,MER,MERCURE,HONFLEUR,France,https://all.accor.com/hotel/0986/index.fr.shtml,france,HOTEL MERCURE HONFLEUR,HONFLEUR,missing
B8E1,B8E1,ibis Styles Contres Cheverny,IBS,IBIS STYLES,LE CONTROIS EN SOLOGNE,France,https://all.accor.com/hotel/B8E1/index.fr.shtml,france,IBIS STYLES CONTRES CHEVERNY,LE CONTROIS EN SOLOGNE,missing
0951,951,ibis Le Havre Sud Harfleur,IBH,IBIS,HARFLEUR,France,https://all.accor.com/hotel/0951/index.fr.shtml,france,IBIS LE HAVRE SUD HARFLEUR,HARFLEUR,missing
0982,982,ibis Alençon,IBH,IBIS,ALENCON,France,https://all.accor.com/hotel/0982/index.fr.shtml,france,IBIS ALENCON,ALENCON,missing
C1N9,C1N9,ibis Douai Dechy,IBH,IBIS,DECHY,France,https://all.accor.com/hotel/C1N9/index.fr.shtml,france,IBIS DOUAI DECHY,DECHY,missing
0795,795,ibis Deauville Centre,IBH,IBIS,DEAUVILLE,France,https://all.accor.com/hotel/0795/index.fr.shtml,france,IBIS DEAUVILLE CENTRE,DEAUVILLE,missing
C4Z4,C4Z4,You Hotel Deauville - Handwritten Collection,SOU,SOU,DEAUVILLE,France,https://all.accor.com/hotel/C4Z4/index.fr.shtml,france,YOU HOTEL DEAUVILLE HANDWRITTEN COLLECTION,DEAUVILLE,missing
A0B4,A0B4,ibis Styles Deauville Centre,IBS,IBIS STYLES,DEAUVILLE,France,https://all.accor.com/hotel/A0B4/index.fr.shtml,france,IBIS STYLES DEAUVILLE CENTRE,DEAUVILLE,missing
B4Q8,B4Q8,Novotel Deauville Plage,NOV,NOVOTEL,DEAUVILLE,France,https://all.accor.com/hotel/B4Q8/index.fr.shtml,france,NOVOTEL DEAUVILLE PLAGE,DEAUVILLE,missing
0956,956,ibis Douai Centre,IBH,IBIS,DOUAI,France,https://all.accor.com/hotel/0956/index.fr.shtml,france,IBIS DOUAI CENTRE,DOUAI,missing
0341,341,Hôtel Mercure Le Havre Centre Bassin du Commerce,MER,MERCURE,LE HAVRE,France,https://all.accor.com/hotel/0341/index.fr.shtml,france,HOTEL MERCURE LE HAVRE CENTRE BASSIN DU COMMERCE,LE HAVRE,missing
B2J3,B2J3,ibis Styles Douai Gare Gayant Expo,IBS,IBIS STYLES,DOUAI,France,https://all.accor.com/hotel/B2J3/index.fr.shtml,france,IBIS STYLES DOUAI GARE GAYANT EXPO,DOUAI,missing
B8R0,B8R0,ibis Styles Lens Centre Gare,IBS,IBIS STYLES,LENS,France,https://all.accor.com/hotel/B8R0/index.fr.shtml,france,IBIS STYLES LENS CENTRE GARE,LENS,missing
0707,707,ibis Fourmies,IBH,IBIS,FOURMIES,France,https://all.accor.com/hotel/0707/index.fr.shtml,france,IBIS FOURMIES,FOURMIES,missing
0426,426,Novotel Lens Noyelles,NOV,NOVOTEL,NOYELLES-GODAULT,France,https://all.accor.com/hotel/0426/index.fr.shtml,france,NOVOTEL LENS NOYELLES,NOYELLES GODAULT,missing
0456,456,Novotel Valenciennes,NOV,NOVOTEL,ROUVIGNIES,France,https://all.accor.com/hotel/0456/index.fr.shtml,france,NOVOTEL VALENCIENNES,ROUVIGNIES,missing
