number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_width,params_learning_rate,params_residual_blocks,params_weight_decay,user_attrs_recommended_epochs,state
0,1.1722431565644933,2026-08-05 22:25:25.803813,2026-08-05 22:26:07.103537,0 days 00:00:41.299724,64,0.06742508365045984,32,0.0032500667782303402,1,0.0006677615511747083,3,COMPLETE
1,0.7967899914506255,2026-08-05 22:26:07.119119,2026-08-05 22:27:13.132157,0 days 00:01:06.013038,128,0.13736874205941257,96,0.0014333875784756232,2,4.523529917658779e-06,22,COMPLETE
2,1.448754783434462,2026-08-05 22:27:13.146295,2026-08-05 22:30:01.702256,0 days 00:02:48.555961,16,0.06951547789558385,96,0.004241456837579218,1,0.03447275228705861,8,COMPLETE
3,0.821548502743254,2026-08-05 22:30:01.714502,2026-08-05 22:31:13.149263,0 days 00:01:11.434761,64,0.2487566853061946,96,0.000545485712692634,1,0.0002778331300797558,4,COMPLETE
4,0.8034223458235057,2026-08-05 22:31:13.161125,2026-08-05 22:33:27.558405,0 days 00:02:14.397280,32,0.06356818667316143,16,0.0005699310014070046,1,6.704755197530225e-05,44,COMPLETE
5,0.7831670150831439,2026-08-05 22:33:27.571300,2026-08-05 22:36:21.331976,0 days 00:02:53.760676,64,0.10961470446025172,96,0.00020358678499373287,3,0.006789359290638661,21,COMPLETE
6,1.1214995634826017,2026-08-05 22:36:21.346699,2026-08-05 22:37:55.879468,0 days 00:01:34.532769,32,0.14329469651469867,48,0.000569661372222248,1,0.002681621920201293,3,COMPLETE
7,0.8075342387384237,2026-08-05 22:37:55.891445,2026-08-05 22:39:46.202030,0 days 00:01:50.310585,32,0.1782623055075649,64,0.00021705230885306137,2,3.213502034232874e-06,4,COMPLETE
