solution,type_produit,type_raw,n_lignes,n_hotels,ca_ttc,ca_marche,marge_marche,marge_coef,coeff_fixe,taux_marge_fixe,taux_marge_marche,taux_marge_coef_observe,delta_pts_marche_moins_fixe
connected,F&B,F_B,95806,3,433634.1250003973,184150.95000003008,249483.17499992455,244860.0203474679,2.6,0.6153846153846154,0.5753310466506665,0.5646696286811919,-4.005356873394894
connected,NON F&B,NON_F_B,11438,2,93412.7401999997,50953.20870000006,42459.531500000056,34809.14674089958,1.8,0.4444444444444445,0.4545368373638631,0.3726381076753778,1.0092392919418602
liberty,F&B,F_B,3320,1,13897.246999999976,5946.120000000048,7951.126999999962,7786.645052641069,2.6,0.6153846153846154,0.5721368412031517,0.5603012634546312,-4.324777418146375
liberty,NON F&B,NON_F_B,2094,1,32226.980000000098,14722.895000000051,17504.085000000003,13488.75141318398,2.0,0.5,0.5431500252273079,0.4185546214129881,4.3150025227307935
simply,F&B,F_B,4655,1,11115.220000000225,6488.240000000201,4626.97999999991,6215.670489510729,2.6,0.6153846153846154,0.416274261777978,0.5592035505829487,-19.911035360663742
simply,NON F&B,NON_F_B,762,1,7703.5599999999995,4630.9400000000005,3072.62,1992.8630920084868,1.45,0.31034482758620685,0.3988571517584078,0.2586937846928546,8.851232417220094
