solution,n_lignes,n_hotels,ca_ttc,marge_marche,marge_coef,mix_ca_fb,coeff_fb,coeff_nfb,taux_marge_fixe_fb,taux_marge_fixe_nfb,taux_marge_fixe_pondere_ca,taux_marge_coef_observe,taux_marge_marche,delta_pts_marche_moins_fixe_pondere
connected,107244,3,527046.8652005303,291942.70650000224,279669.16708832554,0.8227619850001732,2.6,1.8,0.6153846153846154,0.4444444444444445,0.5850875188034484,0.53063434308051,0.5539217207732071,-3.116579803024133
liberty,5414,1,46124.2270000001,25455.21200000019,21275.396465824444,0.3013003773483283,2.6,2.0,0.6153846153846154,0.5,0.5347654281555764,0.4612629381479802,0.5518837638189608,1.7118335663384388
simply,5417,1,18818.780000000697,7699.599999999634,8208.53358151938,0.5906450896391845,2.6,1.45,0.6153846153846154,0.31034482758620685,0.4905150803939157,0.4361884023044573,0.40914448226714745,-8.137059812676828
