nom_hotel,annee,mois,categorie,sous_categorie,is_weekend,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,0,127,294.6,89,15,H2075
Ibis budget Nice,2024,9,F_B,SANS ALCOOL,1,67,162.6,41,13,H2075
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,0,13,145.0,11,7,H2075
Ibis budget Nice,2024,9,N_F_B,ACCESSOIRES,1,1,6.0,1,1,H2075
Ibis budget Nice,2024,9,N_F_B,COSMETIQUE,1,1,10.0,1,1,H2075
Ibis budget Nice,2024,9,N_F_B,PAP,0,5,49.0,5,5,H2075
Ibis budget Nice,2024,9,N_F_B,PAP,1,2,20.0,2,2,H2075
Ibis budget Nice,2024,10,F_B,FOOD SALEE,0,10,21.5,9,3,H2075
Ibis budget Nice,2024,10,F_B,FOOD SALEE,1,4,9.0,4,3,H2075
Ibis budget Nice,2024,10,F_B,FOOD SUCREE,0,16,31.5,11,7,H2075
Ibis budget Nice,2024,10,F_B,FOOD SUCREE,1,4,8.5,3,3,H2075
Ibis budget Nice,2024,10,F_B,SANS ALCOOL,0,101,230.9,69,15,H2075
Ibis budget Nice,2024,10,F_B,SANS ALCOOL,1,46,105.9,34,11,H2075
Ibis budget Nice,2024,10,N_F_B,ACCESSOIRES,0,10,92.0,7,8,H2075
Ibis budget Nice,2024,10,N_F_B,ACCESSOIRES,1,1,6.0,1,1,H2075
Ibis budget Nice,2024,10,N_F_B,PAP,0,4,35.0,4,3,H2075
Ibis budget Nice,2024,10,N_F_B,SOS,0,3,42.0,2,1,H2075
Ibis budget Nice,2024,10,N_F_B,SOS,1,1,14.0,1,1,H2075
Ibis budget Nice,2024,11,F_B,FOOD SALEE,0,2,4.5,2,2,H2075
Ibis budget Nice,2024,11,F_B,FOOD SALEE,1,4,8.5,3,4,H2075
Ibis budget Nice,2024,11,F_B,FOOD SUCREE,0,7,11.5,7,5,H2075
Ibis budget Nice,2024,11,F_B,FOOD SUCREE,1,6,9.0,6,3,H2075
Ibis budget Nice,2024,11,F_B,SANS ALCOOL,0,46,111.60000000000001,34,15,H2075
Ibis budget Nice,2024,11,F_B,SANS ALCOOL,1,33,78.10000000000001,25,14,H2075
Ibis budget Nice,2024,11,N_F_B,ACCESSOIRES,1,2,12.0,2,2,H2075
Ibis budget Nice,2024,11,N_F_B,PAP,0,1,6.0,1,1,H2075
Ibis budget Nice,2024,12,F_B,FOOD SALEE,0,7,15.0,6,3,H2075
Ibis budget Nice,2024,12,F_B,FOOD SUCREE,0,15,26.5,9,6,H2075
Ibis budget Nice,2024,12,F_B,SANS ALCOOL,0,55,124.7,42,14,H2075
Ibis budget Nice,2024,12,F_B,SANS ALCOOL,1,31,69.80000000000001,18,7,H2075
Ibis budget Nice,2024,12,N_F_B,ACCESSOIRES,0,1,13.0,1,1,H2075
Ibis budget Nice,2025,1,F_B,FOOD SALEE,0,10,20.5,8,4,H2075
Ibis budget Nice,2025,1,F_B,FOOD SALEE,1,4,8.0,2,3,H2075
Ibis budget Nice,2025,1,F_B,FOOD SUCREE,0,13,20.5,10,4,H2075
Ibis budget Nice,2025,1,F_B,FOOD SUCREE,1,2,4.5,2,2,H2075
Ibis budget Nice,2025,1,F_B,SANS ALCOOL,0,92,214.20000000000002,64,15,H2075
Ibis budget Nice,2025,1,F_B,SANS ALCOOL,1,19,43.900000000000006,14,9,H2075
Ibis budget Nice,2025,1,N_F_B,ACCESSOIRES,0,1,10.0,1,1,H2075
Ibis budget Nice,2025,1,N_F_B,ACCESSOIRES,1,1,10.0,1,1,H2075
Ibis budget Nice,2025,1,N_F_B,SOS,0,1,14.0,1,1,H2075
Ibis budget Nice,2025,2,F_B,FOOD SALEE,0,8,16.0,4,2,H2075
Ibis budget Nice,2025,2,F_B,FOOD SALEE,1,2,4.0,2,2,H2075
Ibis budget Nice,2025,2,F_B,FOOD SUCREE,0,5,10.5,4,4,H2075
Ibis budget Nice,2025,2,F_B,FOOD SUCREE,1,4,7.0,4,2,H2075
Ibis budget Nice,2025,2,F_B,SANS ALCOOL,0,50,120.80000000000001,34,13,H2075
Ibis budget Nice,2025,2,F_B,SANS ALCOOL,1,39,94.0,31,13,H2075
Ibis budget Nice,2025,2,N_F_B,ACCESSOIRES,0,1,10.0,1,1,H2075
Ibis budget Nice,2025,2,N_F_B,PAP,0,1,6.0,1,1,H2075
Ibis budget Nice,2025,3,F_B,FOOD SALEE,0,1,2.0,1,1,H2075
Ibis budget Nice,2025,3,F_B,FOOD SALEE,1,8,17.5,6,4,H2075
Ibis budget Nice,2025,3,F_B,FOOD SUCREE,0,19,34.4,14,5,H2075
Ibis budget Nice,2025,3,F_B,FOOD SUCREE,1,4,6.6,4,3,H2075
Ibis budget Nice,2025,3,F_B,SANS ALCOOL,0,141,340.8,113,17,H2075
Ibis budget Nice,2025,3,F_B,SANS ALCOOL,1,70,177.3,57,17,H2075
Ibis budget Nice,2025,3,N_F_B,#REF!,0,0,22.0,2,0,H2075
Ibis budget Nice,2025,3,N_F_B,ACCESSOIRES,0,1,15.0,1,1,H2075
Ibis budget Nice,2025,3,N_F_B,ACCESSOIRES,1,1,10.0,1,1,H2075
Ibis budget Nice,2025,4,F_B,FOOD SALEE,0,15,37.0,12,5,H2075
Ibis budget Nice,2025,4,F_B,FOOD SALEE,1,5,18.5,3,4,H2075
Ibis budget Nice,2025,4,F_B,FOOD SUCREE,0,14,30.0,13,5,H2075
