nom_hotel,annee,mois,categorie,sous_categorie,heure_vente,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2024,5,F_B,SANS ALCOOL,21,2,4.4,2,1,H2075
Ibis budget Nice,2024,5,F_B,SANS ALCOOL,22,7,15.700000000000001,5,3,H2075
Ibis budget Nice,2024,5,F_B,SANS ALCOOL,23,2,4.4,2,1,H2075
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,10,1,25.0,1,1,H2075
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,11,1,12.0,1,1,H2075
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,12,1,6.0,1,1,H2075
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,13,1,10.0,1,1,H2075
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,14,1,6.0,1,1,H2075
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,16,1,13.0,1,1,H2075
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,18,1,12.0,1,1,H2075
Ibis budget Nice,2024,5,N_F_B,ACCESSOIRES,20,1,13.0,1,1,H2075
Ibis budget Nice,2024,5,N_F_B,PAP,11,2,20.0,1,1,H2075
Ibis budget Nice,2024,5,N_F_B,PAP,12,4,40.0,3,4,H2075
Ibis budget Nice,2024,5,N_F_B,PAP,13,1,9.0,1,1,H2075
Ibis budget Nice,2024,5,N_F_B,PAP,17,1,9.0,1,1,H2075
Ibis budget Nice,2024,5,N_F_B,PAP,20,1,8.0,1,1,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,0,1,2.0,1,1,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,1,1,2.5,1,1,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,3,1,2.0,1,1,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,5,2,4.5,2,2,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,8,2,4.0,2,1,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,14,2,4.5,2,2,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,15,1,2.0,1,1,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,17,1,2.0,1,1,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,18,1,2.0,1,1,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,19,4,9.5,2,2,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,22,2,4.5,2,2,H2075
Ibis budget Nice,2024,6,F_B,FOOD SALEE,23,3,6.5,2,3,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,0,16,36.900000000000006,13,7,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,1,9,21.3,6,3,H2075
Ibis budget Nice,2024,6,F_B,SANS ALCOOL,2,9,19.6,4,2,H2075
