HOTEL_NAME,HOTEL_CITY,HOTEL_LAT,HOTEL_LON,RAYON_KM,OSM_TYPE,OSM_ID,NAME,SHOP_TYPE,BRAND,ADDRESS_STREET,ADDRESS_POSTCODE,ADDRESS_CITY,LAT,LON,DIST_KM
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,10599913492,Carrefour Market,supermarket,Carrefour Market,Avenue Martin Luther King,,Nice,43.6751115,7.2066517,1.0402505620813494
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,10740470757,Épicerie Jeannette,convenience,,Avenue de la Méditerranée,,,43.6766959,7.203687,1.3263000977473172
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,11766013019,JB Tabacco,tobacco,,Place des Amaryllis,,,43.6751974,7.2051567,1.1228374809893653
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,11766017598,Le fournil des moulins,bakery,,Place des Amaryllis,,,43.6753126,7.2058313,1.098057315990654
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,11834913242,Nicolas,alcohol,Nicolas,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6587679,7.1969993,1.7019570508085085
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,12171865908,Arenas,tobacco,,,,,43.6677216,7.2136619,0.05455877143929329
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,12441372556,Sabon,cosmetics,Sabon,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6596553,7.1972654,1.6291219219857986
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,12441372558,,tobacco,,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6594053,7.1971699,1.6507203128085415
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,12441372580,Lolly's,confectionery,,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.658881,7.1962761,1.7428605488402675
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,12441372588,Jade,bakery,,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6587693,7.1965918,1.728786445828831
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,12441617158,L'Occitane,cosmetics,L'Occitane,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6575576,7.1975508,1.7483483869398642
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,12441617173,Avril,cosmetics,Avril,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6576793,7.1970274,1.7725800503520537
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,12441617174,Rituals,cosmetics,Rituals,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6577838,7.1971991,1.7545378889399519
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,12441623226,KIKO Milano,cosmetics,KIKO Milano,Avenue Eugène Donadeï,06700,Saint-Laurent-du-Var,43.6585883,7.1974172,1.6863231571048267
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,13580078291,Aelia,alcohol,,,,,43.6651,7.212688,0.30411174690635834
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,13618505392,Bonjour,convenience,Bonjour,,,,43.6731149,7.2258578,1.1148915593282185
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,13703291512,Obsentum,cosmetics,,,,,43.6599377,7.2061944,1.0707005578190258
Ibis budget Nice,Nice,43.6675713,7.2143076,2,node,13703291524,Dior,cosmetics,,,,,43.6595302,7.2064921,1.0930215697812704
