nom_hotel,annee,mois,categorie,sous_categorie,heure_vente,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Novotel Paris Tour Eiffel,2025,8,F_B,FOOD SUCREE,20,42.0,145.2,22.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,FOOD SUCREE,21,91.0,294.7,45.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,FOOD SUCREE,22,64.0,218.4,40.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,FOOD SUCREE,23,71.0,272.9,40.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,0,252.0,896.7,124.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,1,102.0,365.4,50.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,2,40.0,151.4,18.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,3,17.0,68.0,10.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,4,12.0,46.5,7.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,5,4.0,14.9,4.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,6,12.0,43.6,8.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,7,16.0,64.8,7.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,8,11.0,44.4,10.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,9,19.0,67.2,12.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,10,37.0,139.20000000000002,21.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,11,21.0,76.5,15.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,12,42.0,151.8,21.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,13,33.0,105.3,17.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,14,35.0,113.5,21.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,15,74.0,261.6,44.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,16,78.0,266.6,52.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,17,74.0,235.3,43.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,18,93.0,354.2,44.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,19,86.0,304.3,40.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,20,141.0,538.4,78.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,21,209.0,753.1,111.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,22,296.0,1095.6,154.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,F_B,SANS ALCOOL,23,323.0,1223.5,166.0,0.0,H3546
Novotel Paris Tour Eiffel,2025,8,N_F_B,COSMETIQUE,0,2.0,16.0,2.0,0.0,H3546
